userid,username,date,month,year,projectid,projectname,timelog
7,Grace,2016-01-03,Jan,2016,5,Project Epsilon,120
8,Hank,2016-01-03,Jan,2016,3,Project Gamma,58
9,Ivy,2016-01-03,Jan,2016,1,Project Alpha,145
10,Jack,2016-01-03,Jan,2016,2,Project Beta,183
11,Kelly,2016-01-03,Jan,2016,5,Project Epsilon,169
12,Liam,2016-01-03,Jan,2016,2,Project Beta,158
13,Mia,2016-01-03,Jan,2016,1,Project Alpha,80
14,Noah,2016-01-03,Jan,2016,1,Project Alpha,158
15,Olivia,2016-01-03,Jan,2016,4,Project Delta,164
16,Peter,2016-01-03,Jan,2016,3,Project Gamma,122
17,Quinn,2016-01-03,Jan,2016,4,Project Delta,60
18,Rose,2016-01-03,Jan,2016,5,Project Epsilon,197
19,Sam,2016-01-03,Jan,2016,3,Project Gamma,60
20,Tara,2016-01-03,Jan,2016,2,Project Beta,94
1,Alice,2016-01-04,Jan,2016,4,Project Delta,83
2,Bob,2016-01-04,Jan,2016,5,Project Epsilon,197
3,Charlie,2016-01-04,Jan,2016,1,Project Alpha,112
4,Diana,2016-01-04,Jan,2016,5,Project Epsilon,200
5,Eve,2016-01-04,Jan,2016,1,Project Alpha,76
6,Frank,2016-01-04,Jan,2016,2,Project Beta,150
7,Grace,2016-01-04,Jan,2016,2,Project Beta,140
8,Hank,2016-01-04,Jan,2016,1,Project Alpha,108
9,Ivy,2016-01-04,Jan,2016,5,Project Epsilon,194
10,Jack,2016-01-04,Jan,2016,3,Project Gamma,142
11,Kelly,2016-01-04,Jan,2016,2,Project Beta,101
12,Liam,2016-01-04,Jan,2016,4,Project Delta,170
13,Mia,2016-01-04,Jan,2016,4,Project Delta,184
14,Noah,2016-01-04,Jan,2016,5,Project Epsilon,182
15,Olivia,2016-01-04,Jan,2016,2,Project Beta,58
16,Peter,2016-01-04,Jan,2016,1,Project Alpha,73
17,Quinn,2016-01-04,Jan,2016,4,Project Delta,194
18,Rose,2016-01-04,Jan,2016,1,Project Alpha,99
19,Sam,2016-01-04,Jan,2016,2,Project Beta,143
20,Tara,2016-01-04,Jan,2016,1,Project Alpha,120
1,Alice,2016-01-05,Jan,2016,4,Project Delta,195
2,Bob,2016-01-05,Jan,2016,3,Project Gamma,189
3,Charlie,2016-01-05,Jan,2016,4,Project Delta,57
4,Diana,2016-01-05,Jan,2016,3,Project Gamma,117
5,Eve,2016-01-05,Jan,2016,5,Project Epsilon,111
6,Frank,2016-01-05,Jan,2016,2,Project Beta,120
7,Grace,2016-01-05,Jan,2016,5,Project Epsilon,156
8,Hank,2016-01-05,Jan,2016,2,Project Beta,109
9,Ivy,2016-01-05,Jan,2016,1,Project Alpha,58
10,Jack,2016-01-05,Jan,2016,5,Project Epsilon,65
11,Kelly,2016-01-05,Jan,2016,1,Project Alpha,192
12,Liam,2016-01-05,Jan,2016,2,Project Beta,83
13,Mia,2016-01-05,Jan,2016,4,Project Delta,79
14,Noah,2016-01-05,Jan,2016,3,Project Gamma,120
15,Olivia,2016-01-05,Jan,2016,4,Project Delta,134
16,Peter,2016-01-05,Jan,2016,1,Project Alpha,85
17,Quinn,2016-01-05,Jan,2016,2,Project Beta,86
18,Rose,2016-01-05,Jan,2016,4,Project Delta,110
19,Sam,2016-01-05,Jan,2016,3,Project Gamma,114
20,Tara,2016-01-05,Jan,2016,4,Project Delta,168
1,Alice,2016-01-06,Jan,2016,2,Project Beta,170
2,Bob,2016-01-06,Jan,2016,1,Project Alpha,101
3,Charlie,2016-01-06,Jan,2016,4,Project Delta,52
4,Diana,2016-01-06,Jan,2016,4,Project Delta,59
5,Eve,2016-01-06,Jan,2016,4,Project Delta,115
6,Frank,2016-01-06,Jan,2016,3,Project Gamma,184
7,Grace,2016-01-06,Jan,2016,5,Project Epsilon,103
8,Hank,2016-01-06,Jan,2016,5,Project Epsilon,174
9,Ivy,2016-01-06,Jan,2016,5,Project Epsilon,145
10,Jack,2016-01-06,Jan,2016,3,Project Gamma,177
11,Kelly,2016-01-06,Jan,2016,5,Project Epsilon,101
12,Liam,2016-01-06,Jan,2016,1,Project Alpha,109
13,Mia,2016-01-06,Jan,2016,3,Project Gamma,123
14,Noah,2016-01-06,Jan,2016,3,Project Gamma,78
15,Olivia,2016-01-06,Jan,2016,2,Project Beta,97
16,Peter,2016-01-06,Jan,2016,1,Project Alpha,97
17,Quinn,2016-01-06,Jan,2016,1,Project Alpha,64
18,Rose,2016-01-06,Jan,2016,1,Project Alpha,92
19,Sam,2016-01-06,Jan,2016,1,Project Alpha,165
20,Tara,2016-01-06,Jan,2016,2,Project Beta,160
1,Alice,2016-01-07,Jan,2016,1,Project Alpha,141
2,Bob,2016-01-07,Jan,2016,2,Project Beta,93
3,Charlie,2016-01-07,Jan,2016,3,Project Gamma,187
4,Diana,2016-01-07,Jan,2016,2,Project Beta,60
5,Eve,2016-01-07,Jan,2016,4,Project Delta,69
6,Frank,2016-01-07,Jan,2016,1,Project Alpha,135
7,Grace,2016-01-07,Jan,2016,2,Project Beta,72
8,Hank,2016-01-07,Jan,2016,3,Project Gamma,137
9,Ivy,2016-01-07,Jan,2016,4,Project Delta,110
10,Jack,2016-01-07,Jan,2016,4,Project Delta,199
11,Kelly,2016-01-07,Jan,2016,4,Project Delta,132
12,Liam,2016-01-07,Jan,2016,2,Project Beta,169
13,Mia,2016-01-07,Jan,2016,4,Project Delta,64
14,Noah,2016-01-07,Jan,2016,1,Project Alpha,124
15,Olivia,2016-01-07,Jan,2016,1,Project Alpha,127
16,Peter,2016-01-07,Jan,2016,2,Project Beta,167
17,Quinn,2016-01-07,Jan,2016,1,Project Alpha,72
18,Rose,2016-01-07,Jan,2016,2,Project Beta,142
19,Sam,2016-01-07,Jan,2016,3,Project Gamma,95
20,Tara,2016-01-07,Jan,2016,2,Project Beta,183
1,Alice,2016-01-08,Jan,2016,1,Project Alpha,115
2,Bob,2016-01-08,Jan,2016,4,Project Delta,141
3,Charlie,2016-01-08,Jan,2016,1,Project Alpha,58
4,Diana,2016-01-08,Jan,2016,3,Project Gamma,148
5,Eve,2016-01-08,Jan,2016,1,Project Alpha,195
6,Frank,2016-01-08,Jan,2016,4,Project Delta,74
7,Grace,2016-01-08,Jan,2016,2,Project Beta,153
8,Hank,2016-01-08,Jan,2016,1,Project Alpha,187
9,Ivy,2016-01-08,Jan,2016,1,Project Alpha,177
10,Jack,2016-01-08,Jan,2016,1,Project Alpha,114
11,Kelly,2016-01-08,Jan,2016,3,Project Gamma,74
12,Liam,2016-01-08,Jan,2016,4,Project Delta,106
13,Mia,2016-01-08,Jan,2016,1,Project Alpha,105
14,Noah,2016-01-08,Jan,2016,3,Project Gamma,98
15,Olivia,2016-01-08,Jan,2016,4,Project Delta,148
16,Peter,2016-01-08,Jan,2016,1,Project Alpha,116
17,Quinn,2016-01-08,Jan,2016,1,Project Alpha,53
18,Rose,2016-01-08,Jan,2016,1,Project Alpha,104
19,Sam,2016-01-08,Jan,2016,3,Project Gamma,105
20,Tara,2016-01-08,Jan,2016,5,Project Epsilon,79
1,Alice,2016-01-09,Jan,2016,5,Project Epsilon,77
2,Bob,2016-01-09,Jan,2016,1,Project Alpha,132
3,Charlie,2016-01-09,Jan,2016,4,Project Delta,118
4,Diana,2016-01-09,Jan,2016,1,Project Alpha,114
5,Eve,2016-01-09,Jan,2016,1,Project Alpha,100
6,Frank,2016-01-09,Jan,2016,3,Project Gamma,78
7,Grace,2016-01-09,Jan,2016,4,Project Delta,116
8,Hank,2016-01-09,Jan,2016,1,Project Alpha,123
9,Ivy,2016-01-09,Jan,2016,3,Project Gamma,124
10,Jack,2016-01-09,Jan,2016,5,Project Epsilon,198
11,Kelly,2016-01-09,Jan,2016,2,Project Beta,50
12,Liam,2016-01-09,Jan,2016,5,Project Epsilon,162
13,Mia,2016-01-09,Jan,2016,5,Project Epsilon,108
14,Noah,2016-01-09,Jan,2016,3,Project Gamma,116
15,Olivia,2016-01-09,Jan,2016,4,Project Delta,129
16,Peter,2016-01-09,Jan,2016,2,Project Beta,187
17,Quinn,2016-01-09,Jan,2016,1,Project Alpha,59
18,Rose,2016-01-09,Jan,2016,4,Project Delta,177
19,Sam,2016-01-09,Jan,2016,5,Project Epsilon,139
20,Tara,2016-01-09,Jan,2016,5,Project Epsilon,63
1,Alice,2016-01-10,Jan,2016,4,Project Delta,159
2,Bob,2016-01-10,Jan,2016,1,Project Alpha,119
3,Charlie,2016-01-10,Jan,2016,2,Project Beta,110
4,Diana,2016-01-10,Jan,2016,1,Project Alpha,113
5,Eve,2016-01-10,Jan,2016,4,Project Delta,167
6,Frank,2016-01-10,Jan,2016,1,Project Alpha,186
7,Grace,2016-01-10,Jan,2016,5,Project Epsilon,191
8,Hank,2016-01-10,Jan,2016,2,Project Beta,155
9,Ivy,2016-01-10,Jan,2016,5,Project Epsilon,154
10,Jack,2016-01-10,Jan,2016,5,Project Epsilon,183
11,Kelly,2016-01-10,Jan,2016,4,Project Delta,189
12,Liam,2016-01-10,Jan,2016,1,Project Alpha,90
13,Mia,2016-01-10,Jan,2016,1,Project Alpha,147
14,Noah,2016-01-10,Jan,2016,5,Project Epsilon,141
15,Olivia,2016-01-10,Jan,2016,5,Project Epsilon,86
16,Peter,2016-01-10,Jan,2016,2,Project Beta,187
17,Quinn,2016-01-10,Jan,2016,3,Project Gamma,126
18,Rose,2016-01-10,Jan,2016,3,Project Gamma,192
19,Sam,2016-01-10,Jan,2016,3,Project Gamma,80
20,Tara,2016-01-10,Jan,2016,5,Project Epsilon,182
1,Alice,2016-01-11,Jan,2016,3,Project Gamma,91
2,Bob,2016-01-11,Jan,2016,3,Project Gamma,61
3,Charlie,2016-01-11,Jan,2016,2,Project Beta,179
4,Diana,2016-01-11,Jan,2016,2,Project Beta,112
5,Eve,2016-01-11,Jan,2016,1,Project Alpha,88
6,Frank,2016-01-11,Jan,2016,1,Project Alpha,136
7,Grace,2016-01-11,Jan,2016,1,Project Alpha,193
8,Hank,2016-01-11,Jan,2016,5,Project Epsilon,137
9,Ivy,2016-01-11,Jan,2016,1,Project Alpha,77
10,Jack,2016-01-11,Jan,2016,1,Project Alpha,184
11,Kelly,2016-01-11,Jan,2016,5,Project Epsilon,93
12,Liam,2016-01-11,Jan,2016,3,Project Gamma,124
13,Mia,2016-01-11,Jan,2016,3,Project Gamma,86
14,Noah,2016-01-11,Jan,2016,1,Project Alpha,159
15,Olivia,2016-01-11,Jan,2016,5,Project Epsilon,62
16,Peter,2016-01-11,Jan,2016,1,Project Alpha,186
17,Quinn,2016-01-11,Jan,2016,5,Project Epsilon,67
18,Rose,2016-01-11,Jan,2016,5,Project Epsilon,72
19,Sam,2016-01-11,Jan,2016,5,Project Epsilon,137
20,Tara,2016-01-11,Jan,2016,1,Project Alpha,80
1,Alice,2016-01-12,Jan,2016,4,Project Delta,124
2,Bob,2016-01-12,Jan,2016,3,Project Gamma,161
3,Charlie,2016-01-12,Jan,2016,1,Project Alpha,111
4,Diana,2016-01-12,Jan,2016,2,Project Beta,198
5,Eve,2016-01-12,Jan,2016,4,Project Delta,80
6,Frank,2016-01-12,Jan,2016,1,Project Alpha,133
7,Grace,2016-01-12,Jan,2016,2,Project Beta,192
8,Hank,2016-01-12,Jan,2016,1,Project Alpha,199
9,Ivy,2016-01-12,Jan,2016,4,Project Delta,109
10,Jack,2016-01-12,Jan,2016,1,Project Alpha,170
11,Kelly,2016-01-12,Jan,2016,3,Project Gamma,122
12,Liam,2016-01-12,Jan,2016,1,Project Alpha,139
13,Mia,2016-01-12,Jan,2016,4,Project Delta,51
14,Noah,2016-01-12,Jan,2016,5,Project Epsilon,62
15,Olivia,2016-01-12,Jan,2016,2,Project Beta,199
16,Peter,2016-01-12,Jan,2016,4,Project Delta,51
17,Quinn,2016-01-12,Jan,2016,1,Project Alpha,153
18,Rose,2016-01-12,Jan,2016,3,Project Gamma,157
19,Sam,2016-01-12,Jan,2016,4,Project Delta,100
20,Tara,2016-01-12,Jan,2016,5,Project Epsilon,162
1,Alice,2016-01-13,Jan,2016,5,Project Epsilon,76
2,Bob,2016-01-13,Jan,2016,1,Project Alpha,133
3,Charlie,2016-01-13,Jan,2016,2,Project Beta,187
4,Diana,2016-01-13,Jan,2016,2,Project Beta,129
5,Eve,2016-01-13,Jan,2016,3,Project Gamma,156
6,Frank,2016-01-13,Jan,2016,3,Project Gamma,176
7,Grace,2016-01-13,Jan,2016,3,Project Gamma,145
8,Hank,2016-01-13,Jan,2016,5,Project Epsilon,149
9,Ivy,2016-01-13,Jan,2016,2,Project Beta,195
10,Jack,2016-01-13,Jan,2016,4,Project Delta,53
11,Kelly,2016-01-13,Jan,2016,4,Project Delta,140
12,Liam,2016-01-13,Jan,2016,4,Project Delta,58
13,Mia,2016-01-13,Jan,2016,3,Project Gamma,199
14,Noah,2016-01-13,Jan,2016,5,Project Epsilon,65
15,Olivia,2016-01-13,Jan,2016,3,Project Gamma,171
16,Peter,2016-01-13,Jan,2016,2,Project Beta,172
17,Quinn,2016-01-13,Jan,2016,4,Project Delta,87
18,Rose,2016-01-13,Jan,2016,1,Project Alpha,150
19,Sam,2016-01-13,Jan,2016,4,Project Delta,107
20,Tara,2016-01-13,Jan,2016,4,Project Delta,178
1,Alice,2016-01-14,Jan,2016,2,Project Beta,137
2,Bob,2016-01-14,Jan,2016,1,Project Alpha,56
3,Charlie,2016-01-14,Jan,2016,2,Project Beta,148
4,Diana,2016-01-14,Jan,2016,5,Project Epsilon,50
5,Eve,2016-01-14,Jan,2016,3,Project Gamma,107
6,Frank,2016-01-14,Jan,2016,3,Project Gamma,162
7,Grace,2016-01-14,Jan,2016,5,Project Epsilon,83
8,Hank,2016-01-14,Jan,2016,4,Project Delta,183
9,Ivy,2016-01-14,Jan,2016,5,Project Epsilon,170
10,Jack,2016-01-14,Jan,2016,3,Project Gamma,159
11,Kelly,2016-01-14,Jan,2016,2,Project Beta,161
12,Liam,2016-01-14,Jan,2016,3,Project Gamma,135
13,Mia,2016-01-14,Jan,2016,5,Project Epsilon,142
14,Noah,2016-01-14,Jan,2016,1,Project Alpha,157
15,Olivia,2016-01-14,Jan,2016,3,Project Gamma,113
16,Peter,2016-01-14,Jan,2016,4,Project Delta,70
17,Quinn,2016-01-14,Jan,2016,5,Project Epsilon,97
18,Rose,2016-01-14,Jan,2016,3,Project Gamma,104
19,Sam,2016-01-14,Jan,2016,3,Project Gamma,145
20,Tara,2016-01-14,Jan,2016,2,Project Beta,175
1,Alice,2016-01-15,Jan,2016,2,Project Beta,139
2,Bob,2016-01-15,Jan,2016,1,Project Alpha,92
3,Charlie,2016-01-15,Jan,2016,3,Project Gamma,106
4,Diana,2016-01-15,Jan,2016,1,Project Alpha,159
5,Eve,2016-01-15,Jan,2016,5,Project Epsilon,86
6,Frank,2016-01-15,Jan,2016,3,Project Gamma,66
7,Grace,2016-01-15,Jan,2016,3,Project Gamma,133
8,Hank,2016-01-15,Jan,2016,5,Project Epsilon,81
9,Ivy,2016-01-15,Jan,2016,1,Project Alpha,190
10,Jack,2016-01-15,Jan,2016,2,Project Beta,180
11,Kelly,2016-01-15,Jan,2016,1,Project Alpha,103
12,Liam,2016-01-15,Jan,2016,4,Project Delta,64
13,Mia,2016-01-15,Jan,2016,4,Project Delta,185
14,Noah,2016-01-15,Jan,2016,1,Project Alpha,54
15,Olivia,2016-01-15,Jan,2016,3,Project Gamma,150
16,Peter,2016-01-15,Jan,2016,5,Project Epsilon,133
17,Quinn,2016-01-15,Jan,2016,4,Project Delta,109
18,Rose,2016-01-15,Jan,2016,5,Project Epsilon,86
19,Sam,2016-01-15,Jan,2016,4,Project Delta,193
20,Tara,2016-01-15,Jan,2016,5,Project Epsilon,186
1,Alice,2016-01-16,Jan,2016,1,Project Alpha,148
2,Bob,2016-01-16,Jan,2016,3,Project Gamma,81
3,Charlie,2016-01-16,Jan,2016,3,Project Gamma,65
4,Diana,2016-01-16,Jan,2016,3,Project Gamma,78
5,Eve,2016-01-16,Jan,2016,1,Project Alpha,69
6,Frank,2016-01-16,Jan,2016,3,Project Gamma,181
7,Grace,2016-01-16,Jan,2016,5,Project Epsilon,80
8,Hank,2016-01-16,Jan,2016,2,Project Beta,164
9,Ivy,2016-01-16,Jan,2016,4,Project Delta,145
10,Jack,2016-01-16,Jan,2016,1,Project Alpha,186
11,Kelly,2016-01-16,Jan,2016,4,Project Delta,119
12,Liam,2016-01-16,Jan,2016,5,Project Epsilon,173
13,Mia,2016-01-16,Jan,2016,2,Project Beta,185
14,Noah,2016-01-16,Jan,2016,1,Project Alpha,113
15,Olivia,2016-01-16,Jan,2016,2,Project Beta,128
16,Peter,2016-01-16,Jan,2016,1,Project Alpha,190
17,Quinn,2016-01-16,Jan,2016,1,Project Alpha,158
18,Rose,2016-01-16,Jan,2016,2,Project Beta,122
19,Sam,2016-01-16,Jan,2016,3,Project Gamma,71
20,Tara,2016-01-16,Jan,2016,2,Project Beta,163
1,Alice,2016-01-17,Jan,2016,4,Project Delta,167
2,Bob,2016-01-17,Jan,2016,2,Project Beta,65
3,Charlie,2016-01-17,Jan,2016,1,Project Alpha,72
4,Diana,2016-01-17,Jan,2016,2,Project Beta,161
5,Eve,2016-01-17,Jan,2016,4,Project Delta,181
6,Frank,2016-01-17,Jan,2016,4,Project Delta,69
7,Grace,2016-01-17,Jan,2016,3,Project Gamma,102
8,Hank,2016-01-17,Jan,2016,3,Project Gamma,185
9,Ivy,2016-01-17,Jan,2016,1,Project Alpha,96
10,Jack,2016-01-17,Jan,2016,4,Project Delta,90
11,Kelly,2016-01-17,Jan,2016,5,Project Epsilon,129
12,Liam,2016-01-17,Jan,2016,2,Project Beta,108
13,Mia,2016-01-17,Jan,2016,3,Project Gamma,149
14,Noah,2016-01-17,Jan,2016,5,Project Epsilon,123
15,Olivia,2016-01-17,Jan,2016,3,Project Gamma,165
16,Peter,2016-01-17,Jan,2016,2,Project Beta,76
17,Quinn,2016-01-17,Jan,2016,1,Project Alpha,166
18,Rose,2016-01-17,Jan,2016,4,Project Delta,168
19,Sam,2016-01-17,Jan,2016,2,Project Beta,125
20,Tara,2016-01-17,Jan,2016,3,Project Gamma,139
1,Alice,2016-01-18,Jan,2016,4,Project Delta,103
2,Bob,2016-01-18,Jan,2016,4,Project Delta,142
3,Charlie,2016-01-18,Jan,2016,1,Project Alpha,113
4,Diana,2016-01-18,Jan,2016,5,Project Epsilon,148
5,Eve,2016-01-18,Jan,2016,4,Project Delta,67
6,Frank,2016-01-18,Jan,2016,3,Project Gamma,152
7,Grace,2016-01-18,Jan,2016,3,Project Gamma,50
8,Hank,2016-01-18,Jan,2016,3,Project Gamma,152
9,Ivy,2016-01-18,Jan,2016,1,Project Alpha,96
10,Jack,2016-01-18,Jan,2016,1,Project Alpha,61
11,Kelly,2016-01-18,Jan,2016,3,Project Gamma,103
12,Liam,2016-01-18,Jan,2016,1,Project Alpha,85
13,Mia,2016-01-18,Jan,2016,5,Project Epsilon,85
14,Noah,2016-01-18,Jan,2016,3,Project Gamma,143
15,Olivia,2016-01-18,Jan,2016,1,Project Alpha,159
16,Peter,2016-01-18,Jan,2016,2,Project Beta,186
17,Quinn,2016-01-18,Jan,2016,5,Project Epsilon,88
18,Rose,2016-01-18,Jan,2016,1,Project Alpha,112
19,Sam,2016-01-18,Jan,2016,5,Project Epsilon,87
20,Tara,2016-01-18,Jan,2016,3,Project Gamma,144
1,Alice,2016-01-19,Jan,2016,1,Project Alpha,141
2,Bob,2016-01-19,Jan,2016,4,Project Delta,200
3,Charlie,2016-01-19,Jan,2016,3,Project Gamma,173
4,Diana,2016-01-19,Jan,2016,4,Project Delta,161
5,Eve,2016-01-19,Jan,2016,2,Project Beta,95
6,Frank,2016-01-19,Jan,2016,5,Project Epsilon,154
7,Grace,2016-01-19,Jan,2016,5,Project Epsilon,81
8,Hank,2016-01-19,Jan,2016,3,Project Gamma,84
9,Ivy,2016-01-19,Jan,2016,1,Project Alpha,59
10,Jack,2016-01-19,Jan,2016,3,Project Gamma,183
11,Kelly,2016-01-19,Jan,2016,2,Project Beta,145
12,Liam,2016-01-19,Jan,2016,3,Project Gamma,178
13,Mia,2016-01-19,Jan,2016,5,Project Epsilon,197
14,Noah,2016-01-19,Jan,2016,4,Project Delta,74
15,Olivia,2016-01-19,Jan,2016,2,Project Beta,170
16,Peter,2016-01-19,Jan,2016,2,Project Beta,194
17,Quinn,2016-01-19,Jan,2016,3,Project Gamma,52
18,Rose,2016-01-19,Jan,2016,2,Project Beta,64
19,Sam,2016-01-19,Jan,2016,2,Project Beta,179
20,Tara,2016-01-19,Jan,2016,2,Project Beta,183
1,Alice,2016-01-20,Jan,2016,3,Project Gamma,83
2,Bob,2016-01-20,Jan,2016,3,Project Gamma,75
3,Charlie,2016-01-20,Jan,2016,1,Project Alpha,185
4,Diana,2016-01-20,Jan,2016,5,Project Epsilon,89
5,Eve,2016-01-20,Jan,2016,1,Project Alpha,155
6,Frank,2016-01-20,Jan,2016,2,Project Beta,121
7,Grace,2016-01-20,Jan,2016,5,Project Epsilon,120
8,Hank,2016-01-20,Jan,2016,4,Project Delta,121
9,Ivy,2016-01-20,Jan,2016,3,Project Gamma,59
10,Jack,2016-01-20,Jan,2016,4,Project Delta,141
11,Kelly,2016-01-20,Jan,2016,5,Project Epsilon,153
12,Liam,2016-01-20,Jan,2016,5,Project Epsilon,120
13,Mia,2016-01-20,Jan,2016,3,Project Gamma,95
14,Noah,2016-01-20,Jan,2016,4,Project Delta,61
15,Olivia,2016-01-20,Jan,2016,3,Project Gamma,70
16,Peter,2016-01-20,Jan,2016,5,Project Epsilon,180
17,Quinn,2016-01-20,Jan,2016,1,Project Alpha,83
18,Rose,2016-01-20,Jan,2016,4,Project Delta,136
19,Sam,2016-01-20,Jan,2016,5,Project Epsilon,63
20,Tara,2016-01-20,Jan,2016,2,Project Beta,169
1,Alice,2016-01-21,Jan,2016,4,Project Delta,188
2,Bob,2016-01-21,Jan,2016,3,Project Gamma,87
3,Charlie,2016-01-21,Jan,2016,2,Project Beta,141
4,Diana,2016-01-21,Jan,2016,5,Project Epsilon,187
5,Eve,2016-01-21,Jan,2016,3,Project Gamma,72
6,Frank,2016-01-21,Jan,2016,3,Project Gamma,134
7,Grace,2016-01-21,Jan,2016,1,Project Alpha,142
8,Hank,2016-01-21,Jan,2016,3,Project Gamma,85
9,Ivy,2016-01-21,Jan,2016,1,Project Alpha,113
10,Jack,2016-01-21,Jan,2016,3,Project Gamma,95
11,Kelly,2016-01-21,Jan,2016,1,Project Alpha,126
12,Liam,2016-01-21,Jan,2016,5,Project Epsilon,162
13,Mia,2016-01-21,Jan,2016,3,Project Gamma,154
14,Noah,2016-01-21,Jan,2016,5,Project Epsilon,124
15,Olivia,2016-01-21,Jan,2016,1,Project Alpha,117
16,Peter,2016-01-21,Jan,2016,1,Project Alpha,54
17,Quinn,2016-01-21,Jan,2016,3,Project Gamma,85
18,Rose,2016-01-21,Jan,2016,3,Project Gamma,195
19,Sam,2016-01-21,Jan,2016,3,Project Gamma,93
20,Tara,2016-01-21,Jan,2016,3,Project Gamma,151
1,Alice,2016-01-22,Jan,2016,3,Project Gamma,191
2,Bob,2016-01-22,Jan,2016,4,Project Delta,54
3,Charlie,2016-01-22,Jan,2016,2,Project Beta,156
4,Diana,2016-01-22,Jan,2016,4,Project Delta,63
5,Eve,2016-01-22,Jan,2016,1,Project Alpha,140
6,Frank,2016-01-22,Jan,2016,4,Project Delta,106
7,Grace,2016-01-22,Jan,2016,3,Project Gamma,98
8,Hank,2016-01-22,Jan,2016,1,Project Alpha,101
9,Ivy,2016-01-22,Jan,2016,2,Project Beta,182
10,Jack,2016-01-22,Jan,2016,2,Project Beta,149
11,Kelly,2016-01-22,Jan,2016,5,Project Epsilon,80
12,Liam,2016-01-22,Jan,2016,2,Project Beta,176
13,Mia,2016-01-22,Jan,2016,2,Project Beta,122
14,Noah,2016-01-22,Jan,2016,3,Project Gamma,62
15,Olivia,2016-01-22,Jan,2016,5,Project Epsilon,147
16,Peter,2016-01-22,Jan,2016,1,Project Alpha,153
17,Quinn,2016-01-22,Jan,2016,1,Project Alpha,173
18,Rose,2016-01-22,Jan,2016,4,Project Delta,57
19,Sam,2016-01-22,Jan,2016,2,Project Beta,187
20,Tara,2016-01-22,Jan,2016,5,Project Epsilon,139
1,Alice,2016-01-23,Jan,2016,3,Project Gamma,118
2,Bob,2016-01-23,Jan,2016,3,Project Gamma,84
3,Charlie,2016-01-23,Jan,2016,2,Project Beta,147
4,Diana,2016-01-23,Jan,2016,1,Project Alpha,67
5,Eve,2016-01-23,Jan,2016,3,Project Gamma,169
6,Frank,2016-01-23,Jan,2016,1,Project Alpha,112
7,Grace,2016-01-23,Jan,2016,4,Project Delta,195
8,Hank,2016-01-23,Jan,2016,2,Project Beta,129
9,Ivy,2016-01-23,Jan,2016,3,Project Gamma,193
